trip_id,driver_id,date,day_of_week,day_of_week_num,week_number,month,is_weekend,stop_order,stop_name,latitude,longitude,visit_time,visit_hour,visit_duration,total_stops,route_distance_km,avg_speed_kmh,driver_efficiency,traffic_category
1,D1,2025-11-03,Monday,0,45,11,0,1,Naroda_Center,23.0715,72.6536,10:14,10,19,6,0.0,32,0.92,high
1,D1,2025-11-03,Monday,0,45,11,0,2,Chandkheda_Store,23.1146,72.5877,10:56,10,25,6,8.27,32,0.92,high
1,D1,2025-11-03,Monday,0,45,11,0,3,Ellisbridge_Shop,23.024,72.568,11:41,11,44,6,18.54,32,0.92,low
1,D1,2025-11-03,Monday,0,45,11,0,4,Satellite_Branch,23.0258,72.5099,12:38,12,37,6,24.49,32,0.92,medium
1,D1,2025-11-03,Monday,0,45,11,0,5,Shela_Outlet,23.0269,72.4651,13:26,13,35,6,29.08,32,0.92,medium
1,D1,2025-11-03,Monday,0,45,11,0,6,Vatva_Store,22.9641,72.6385,14:36,14,18,6,48.15,32,0.92,low
2,D1,2025-11-04,Tuesday,1,45,11,0,1,CG_Road_Outlet,23.0322,72.5562,10:24,10,27,9,0.0,32,0.92,high
2,D1,2025-11-04,Tuesday,1,45,11,0,2,Vastrapur_Shop,23.0351,72.5297,10:59,10,31,9,2.73,32,0.92,high
2,D1,2025-11-04,Tuesday,1,45,11,0,3,Bodakdev_Center,23.0487,72.5155,11:34,11,37,9,4.83,32,0.92,low
2,D1,2025-11-04,Tuesday,1,45,11,0,4,Satellite_Branch,23.0258,72.5099,12:16,12,10,9,7.44,32,0.92,medium
2,D1,2025-11-04,Tuesday,1,45,11,0,5,Prahlad_Nagar_Store,23.0177,72.5108,12:29,12,26,9,8.34,32,0.92,medium
2,D1,2025-11-04,Tuesday,1,45,11,0,6,Manipur_Center,23.005,72.498,12:59,12,21,9,10.27,32,0.92,medium
2,D1,2025-11-04,Tuesday,1,45,11,0,7,Lambha_Branch,22.9467,72.5745,13:43,13,16,9,20.44,32,0.92,medium
2,D1,2025-11-04,Tuesday,1,45,11,0,8,Kalupur_Center,23.0262,72.5963,14:21,14,29,9,29.55,32,0.92,low
2,D1,2025-11-04,Tuesday,1,45,11,0,9,Bavla_Store,22.9346,72.3752,15:40,15,42,9,54.37,32,0.92,low
3,D1,2025-11-06,Thursday,3,45,11,0,1,Jodhpur_Shop,23.0137,72.5212,09:07,9,13,7,0.0,32,0.92,high
3,D1,2025-11-06,Thursday,3,45,11,0,2,Prahlad_Nagar_Store,23.0177,72.5108,09:23,9,15,7,1.15,32,0.92,high
3,D1,2025-11-06,Thursday,3,45,11,0,3,Bodakdev_Center,23.0487,72.5155,09:47,9,41,7,4.63,32,0.92,high
3,D1,2025-11-06,Thursday,3,45,11,0,4,Dariapur_Branch,23.0357,72.584,10:51,10,44,7,11.79,32,0.92,high
3,D1,2025-11-06,Thursday,3,45,11,0,5,Odhav_Outlet,22.9979,72.646,11:50,11,18,7,19.4,32,0.92,low
3,D1,2025-11-06,Thursday,3,45,11,0,6,Vastral_Outlet,23.0189,72.6607,12:15,12,45,7,22.18,32,0.92,medium
3,D1,2025-11-06,Thursday,3,45,11,0,7,Dholka_Store,22.7186,72.4683,14:22,14,43,7,60.96,32,0.92,low
4,D1,2025-11-07,Friday,4,45,11,0,1,Odhav_Outlet,22.9979,72.646,08:02,8,13,9,0.0,32,0.92,high
4,D1,2025-11-07,Friday,4,45,11,0,2,Vastral_Outlet,23.0189,72.6607,08:22,8,12,9,2.78,32,0.92,high
4,D1,2025-11-07,Friday,4,45,11,0,3,Maninagar_Outlet,22.9993,72.601,08:55,8,14,9,9.27,32,0.92,high
4,D1,2025-11-07,Friday,4,45,11,0,4,Jamalpur_Store,23.022,72.59,09:18,9,27,9,12.03,32,0.92,high
4,D1,2025-11-07,Friday,4,45,11,0,5,Juhapura_Store,23.0039,72.5393,10:02,10,23,9,17.59,32,0.92,high
4,D1,2025-11-07,Friday,4,45,11,0,6,Jodhpur_Shop,23.0137,72.5212,10:32,10,40,9,19.74,32,0.92,high
4,D1,2025-11-07,Friday,4,45,11,0,7,Motera_Shop,23.1014,72.5872,11:33,11,40,9,31.61,32,0.92,low
4,D1,2025-11-07,Friday,4,45,11,0,8,Vatva_Store,22.9641,72.6385,12:51,12,22,9,47.75,32,0.92,medium
4,D1,2025-11-07,Friday,4,45,11,0,9,Mandal_Outlet,23.2439,72.3021,14:50,14,37,9,94.14,32,0.92,low
5,D1,2025-11-10,Monday,0,46,11,0,1,CG_Road_Outlet,23.0322,72.5562,08:13,8,21,8,0.0,32,0.92,high
5,D1,2025-11-10,Monday,0,46,11,0,2,Shahpur_Outlet,23.0302,72.5847,08:42,8,25,8,2.92,32,0.92,high
5,D1,2025-11-10,Monday,0,46,11,0,3,Mirzapur_Shop,23.035,72.59,09:09,9,14,8,3.69,32,0.92,high
5,D1,2025-11-10,Monday,0,46,11,0,4,Jamalpur_Store,23.022,72.59,09:28,9,45,8,5.13,32,0.92,high
5,D1,2025-11-10,Monday,0,46,11,0,5,Gomtipur_Center,23.0415,72.6397,10:27,10,44,8,10.66,32,0.92,high
5,D1,2025-11-10,Monday,0,46,11,0,6,Narol_Shop,22.9582,72.6205,11:30,11,15,8,20.13,32,0.92,low
5,D1,2025-11-10,Monday,0,46,11,0,7,Lambha_Branch,22.9467,72.5745,11:55,11,25,8,25.01,32,0.92,low
5,D1,2025-11-10,Monday,0,46,11,0,8,Sanand_Branch,22.9926,72.375,13:05,13,41,8,46.06,32,0.92,medium
6,D1,2025-11-11,Tuesday,1,46,11,0,1,Vatva_Store,22.9641,72.6385,08:18,8,44,9,0.0,32,0.92,high
6,D1,2025-11-11,Tuesday,1,46,11,0,2,Maninagar_Outlet,22.9993,72.601,09:16,9,30,9,5.48,32,0.92,high
6,D1,2025-11-11,Tuesday,1,46,11,0,3,Khadia_Outlet,23.0279,72.5952,09:55,9,40,9,8.72,32,0.92,high
6,D1,2025-11-11,Tuesday,1,46,11,0,4,Navrangpura_Store,23.0395,72.5603,10:46,10,43,9,12.51,32,0.92,high
6,D1,2025-11-11,Tuesday,1,46,11,0,5,CG_Road_Outlet,23.0322,72.5562,11:31,11,42,9,13.43,32,0.92,low
6,D1,2025-11-11,Tuesday,1,46,11,0,6,Prahlad_Nagar_Store,23.0177,72.5108,12:23,12,21,9,18.35,32,0.92,medium
